Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.WY1.06AUG25.112:5.P,.2656250,.2968750,112.5000000,P,.3181729,396.3988463,562.4775326,483.8740450
XCME.WY1.06AUG25.112.P,.0312500,.0468750,112,P,.0611768,459.4792128,543.0942139,502.4108601
XCME.WY1.06AUG25.113:25.C,INVALID,.0069999,113.2500000,C,.0046845,,838.2889104,749.3893464
XCME.WY1.06AUG25.111:75.P,.0069999,.0156250,111.7500000,P,.0171142,486.3472768,585.3627462,540.7496882
XCME.WY1.06AUG25.110:75.C,1.5000000,1.5312500,110.7500000,C,1.5079159,,1482.1228145,1293.7994734
XCME.WY1.06AUG25.110:5.C,1.7500000,1.7812500,110.5000000,C,1.7578809,,1673.4706472,1468.1861699
XCME.WY1.06AUG25.112:75.P,.4843750,.5156250,112.7500000,P,.5230080,,638.2326177,531.3829264
XCME.WY1.06AUG25.113:5.C,INVALID,.0069999,113.5000000,C,.0021764,,1009.3292264,906.6093776
XCME.WY1.06AUG25.111:5.P,INVALID,.0069999,111.5000000,P,.0035872,,672.9102485,596.9824978
XCME.WY1.06AUG25.111.C,1.2500000,1.2812500,111,C,1.2580310,,1286.1698666,1115.6475471
