Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.VY2.11AUG25.110:75.P,INVALID,.0156250,110.7500000,P,,,,
XCME.VY2.11AUG25.113:25.P,1,1.0312500,113.2500000,P,,,,
XCME.VY2.11AUG25.110:25.P,INVALID,.0069999,110.2500000,P,,,,
XCME.VY2.11AUG25.113:75.C,.0156250,.0312500,113.7500000,C,,,,
XCME.VY2.11AUG25.114.C,.0069999,.0156250,114,C,,,,
XCME.VY2.11AUG25.113:5.C,.0156250,.0312500,113.5000000,C,,,,
XCME.WY1.06AUG25.112:5.C,.0312500,.0625000,112.5000000,C,.0759850,441.7078564,599.8770871,523.9306031
XCME.WY1.06AUG25.112:25.C,.1250000,.1406250,112.2500000,C,.1676407,470.5384041,531.2954794,500.9176722
XCME.WY1.06AUG25.111.P,INVALID,.0069999,111,P,.0002185,,1018.3127265,914.1371113
XCME.WY1.06AUG25.113:75.P,1.4687500,1.5156250,113.7500000,P,1.4934055,,1470.6984157,1283.7378734
