Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.HY1.07AUG25.113:5.P,1.2343750,1.2656250,113.5000000,P,1.2510657,,939.1140389,830.1946838
XCME.HY1.07AUG25.113.P,.7500000,.7812500,113,P,.7800111,516.4502594,725.5307574,635.8609897
XCME.ZN2.08AUG25.110:5.C,1.7500000,1.7812500,110.5000000,C,1.7701479,,935.6034493,799.2028399
XCME.ZN2.08AUG25.111.C,1.2500000,1.2812500,111,C,1.2709913,,717.4329045,604.7969541
XCME.ZN2.08AUG25.110:75.P,INVALID,.0069999,110.7500000,P,.0083903,,684.7887409,617.4767363
XCME.ZN2.08AUG25.112:75.C,.0625000,.0781250,112.7500000,C,.1110372,511.2547357,560.1435476,536.0727603
XCME.ZN2.08AUG25.110:25.P,INVALID,.0069999,110.2500000,P,.0098480,,871.9983641,790.9349601
XCME.ZN2.08AUG25.111:5.C,.7656250,.7968750,111.5000000,C,.7939030,357.4977098,567.9483279,487.0827144
XCME.ZN2.08AUG25.110:75.C,1.5000000,1.5312500,110.7500000,C,1.5197028,,827.7939889,703.0422790
XCME.ZN2.08AUG25.112.P,.1093750,.1250000,112,P,.1497967,482.8919778,521.9044447,502.4797228
XCME.ZN2.08AUG25.112:25.P,.2031250,.2187500,112.2500000,P,.2662274,467.8730847,502.9044147,485.3888959
