Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.ZN2.08AUG25.111:25.P,.0069999,.0156250,111.2500000,P,.0155466,489.5652073,572.0999896,535.4240934
XCME.ZN2.08AUG25.111:75.C,.5468750,.5781250,111.7500000,C,.5847591,430.3179924,539.9935609,487.9165593
XCME.ZN2.08AUG25.113:25.C,.0156250,.0312500,113.2500000,C,.0408705,562.9654217,662.3224055,616.7998900
XCME.VY2.11AUG25.111:25.P,.0156250,.0312500,111.2500000,P,,,,
XCME.VY2.11AUG25.110:5.P,INVALID,.0069999,110.5000000,P,,,,
XCME.VY2.11AUG25.110.P,INVALID,.0069999,110,P,,,,
XCME.VY2.11AUG25.113:75.P,1.4843750,1.5156250,113.7500000,P,,,,
XCME.VY2.11AUG25.112:25.C,.2500000,.2656250,112.2500000,C,,552.8962025,582.6826385,567.7894205
XCME.VY2.11AUG25.112:5.P,.3906250,.4062500,112.5000000,P,,583.9334912,645.3452367,614.6897498
XCME.VY2.11AUG25.110.C,2.2500000,2.2812500,110,C,,,,
XCME.VY2.11AUG25.112:5.C,.1406250,.1718750,112.5000000,C,,561.6061110,623.1728636,592.4460634
