Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.WY1.06AUG25.113.P,.7343750,.7656250,113,P,.7541155,,859.8158884,730.2001489
XCME.WY1.06AUG25.112:75.C,.0069999,.0312500,112.7500000,C,.0308209,473.4334324,696.6223105,602.5481702
XCME.WY1.06AUG25.110.C,2.2500000,2.2812500,110,C,2.2578628,,,1807.7600248
XCME.WY1.06AUG25.112.C,.2812500,.3125000,112,C,.3189904,413.2034469,582.1909812,502.4038103
XCME.WY1.06AUG25.110:25.P,INVALID,.0069999,110.2500000,P,.0000589,,1509.8904625,1369.5351249
XCME.WY1.06AUG25.113:5.P,1.2187500,1.2500000,113.5000000,P,1.2443639,,1028.1913961,921.2340118
XCME.WY1.06AUG25.113:75.C,INVALID,.0069999,113.7500000,C,.0012180,,1176.1660190,1060.8023392
XCME.WY1.06AUG25.111:25.P,INVALID,.0069999,111.2500000,P,.0007858,,846.5792259,755.7980197
XCME.WY1.06AUG25.113:25.P,.9843750,1.0156250,113.2500000,P,.9968720,,1072.5005917,922.7539242
XCME.WY1.06AUG25.111:75.C,.5156250,.5468750,111.7500000,C,.5249262,497.7426717,766.2544312,653.5916255
