Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.GY1.05AUG25.113:5.C,INVALID,.0069999,113.5000000,C,0,,,
XCME.GY1.05AUG25.112.C,.2500000,.2812500,112,C,.2656595,,1724.4818782,1212.5235010
XCME.GY1.05AUG25.111:75.C,.5000000,.5312500,111.7500000,C,.5156249,,,
XCME.GY1.05AUG25.113:5.P,1.2187500,1.2500000,113.5000000,P,1.2343750,,,
XCME.GY1.05AUG25.112:5.P,.2187500,.2500000,112.5000000,P,.2344900,,1581.7975135,1449.2336202
XCME.GY1.05AUG25.112:75.P,.4687500,.5000000,112.7500000,P,.4843750,,,
XCME.GY1.05AUG25.111:25.C,.9843750,1.0937500,111.2500000,C,1.0156250,,,
XCME.GY1.05AUG25.113.P,.7187500,.7500000,113,P,.7343749,,,
XCME.GY1.05AUG25.110:75.C,1.4843750,1.5937500,110.7500000,C,1.5156250,,,
XCME.GY1.05AUG25.113.C,INVALID,.0069999,113,C,0,,,
XCME.GY1.05AUG25.114.P,1.6562500,1.7656250,114,P,1.7343750,,,
