Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.GY1.05AUG25.112:25.P,.0156250,.0312500,112.2500000,P,.0306798,410.1752271,700.8638363,556.4229777
XCME.HY1.07AUG25.110:5.C,1.7500000,1.7812500,110.5000000,C,1.7620118,,1160.6391739,991.3906866
XCME.HY1.07AUG25.110.C,2.2500000,2.2812500,110,C,2.2619368,,1420.7605230,1224.0252955
XCME.HY1.07AUG25.112.C,.3281250,.3593750,112,C,.3740638,461.3481324,563.4172318,513.2033703
XCME.HY1.07AUG25.112:75.C,.0312500,.0468750,112.7500000,C,.0772459,495.8860384,568.9413497,533.7065836
XCME.HY1.07AUG25.110:25.P,INVALID,.0069999,110.2500000,P,.0006375,,1081.5833014,981.1735909
XCME.HY1.07AUG25.110:75.P,INVALID,.0069999,110.7500000,P,.0009261,,849.4813619,765.9873622
XCME.HY1.07AUG25.111:75.C,.5312500,.5625000,111.7500000,C,.5572033,448.9580110,605.2558742,533.8067728
XCME.HY1.07AUG25.112.P,.0781250,.0937500,112,P,.1127512,499.0812474,549.6905513,524.5734300
XCME.HY1.07AUG25.112:25.P,.1718750,.1875000,112.2500000,P,.2244814,493.4763123,536.9362047,515.2065513
XCME.HY1.07AUG25.113:75.P,1.4843750,1.5156250,113.7500000,P,1.4963891,,1082.3680652,962.1963912
