Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.WY1.06AUG25.113.C,.0069999,.0156250,113,C,.0119280,658.1805151,778.5868186,724.7209555
XCME.WY1.06AUG25.111:25.C,1,1.0312500,111.2500000,C,1.0085983,,1084.0376526,932.4148129
XCME.WY1.06AUG25.110:25.C,2,2.0312500,110.2500000,C,2.0078714,,1859.8260229,1639.2983872
XCME.WY1.06AUG25.114.C,INVALID,.0069999,114,C,.0007909,,1339.5760625,1211.7796191
XCME.WY1.06AUG25.111:5.C,.7500000,.7812500,111.5000000,C,.7613969,,876.5012848,745.7216197
XCME.WY1.06AUG25.114.P,1.7187500,1.7500000,114,P,1.7429784,,1363.0529458,1229.9351544
XCME.WY1.06AUG25.110.P,INVALID,.0069999,110,P,.0000503,,1668.8052228,1516.6966742
XCME.WY1.06AUG25.110:75.P,INVALID,.0069999,110.7500000,P,.0001034,,1185.2324831,1068.6677378
XCME.WY1.06AUG25.112:25.P,.1093750,.1250000,112.2500000,P,.1598282,440.1573152,500.9176724,470.5384051
XCME.WY1.06AUG25.110:5.P,INVALID,.0069999,110.5000000,P,.0000684,,1348.8560842,1219.9587889
