Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.HY1.07AUG25.112:75.P,.5156250,.5468750,112.7500000,P,.5659340,473.4856889,616.7518983,549.7611866
XCME.HY1.07AUG25.114.P,1.7343750,1.7656250,114,P,1.7439264,,1222.1215798,1091.2821105
XCME.HY1.07AUG25.113:25.C,.0069999,.0156250,113.2500000,C,.0218908,597.9222086,698.3510831,653.6569644
XCME.HY1.07AUG25.111:25.C,1,1.0312500,111.2500000,C,1.0159800,,748.8373351,625.1156713
XCME.HY1.07AUG25.110:75.C,1.5000000,1.5312500,110.7500000,C,1.5122386,,1026.9112229,872.0816346
XCME.HY1.07AUG25.110.P,INVALID,.0069999,110,P,.0006243,,1195.3225213,1086.4794952
XCME.HY1.07AUG25.110:5.P,INVALID,.0069999,110.5000000,P,.0006993,,966.3952657,874.1351387
XCME.HY1.07AUG25.111:25.P,INVALID,.0156250,111.2500000,P,.0046675,,709.6950482,619.3738560
XCME.HY1.07AUG25.111:75.P,.0312500,.0468750,111.7500000,P,.0458909,512.2041986,586.3862428,550.6310161
XCME.HY1.07AUG25.111.P,INVALID,.0069999,111,P,.0017201,,730.1179996,655.4732962
XCME.HY1.07AUG25.113:25.P,.9843750,1.0156250,113.2500000,P,1.0105783,,791.3863520,694.4374990
