Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.GY1.05AUG25.110:25.C,1.9843750,2.0937500,110.2500000,C,2.0156250,,,
XCME.GY1.05AUG25.111:75.P,INVALID,.0069999,111.7500000,P,0,,,
XCME.GY1.05AUG25.113:75.C,INVALID,.0069999,113.7500000,C,0,,,
XCME.GY1.05AUG25.112.P,INVALID,.0069999,112,P,.0000341,,1383.3419552,1185.3549531
XCME.GY1.05AUG25.110.P,INVALID,.0069999,110,P,0,,,
XCME.GY1.05AUG25.111.C,1.2343750,1.3437500,111,C,1.2656249,,,
XCME.GY1.05AUG25.112:25.C,.0312500,.0468750,112.2500000,C,.0463047,410.1734253,700.8638452,556.4231013
XCME.GY1.05AUG25.110:5.C,1.7343750,1.8437500,110.5000000,C,1.7656250,,,
XCME.GY1.05AUG25.111:25.P,INVALID,.0069999,111.2500000,P,0,,,
XCME.GY1.05AUG25.111.P,INVALID,.0069999,111,P,0,,,
XCME.GY1.05AUG25.110:25.P,INVALID,.0069999,110.2500000,P,0,,,
