Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.ZN2.08AUG25.114.C,.0069999,.0156250,114,C,.0135831,771.2266799,883.9254199,834.2216755
XCME.ZN2.08AUG25.112:5.C,.1093750,.1406250,112.5000000,C,.1790777,464.5044757,541.1831844,503.1078445
XCME.ZN2.08AUG25.113:25.P,1,1.0312500,113.2500000,P,1.0295580,526.9338398,719.8036624,637.9608921
XCME.ZN2.08AUG25.113:75.P,1.4843750,1.5156250,113.7500000,P,1.5068928,,872.5276459,775.6580409
XCME.ZN2.08AUG25.112:75.P,.5468750,.5625000,112.7500000,P,.5997261,497.1785247,546.9402757,522.4755897
XCME.ZN2.08AUG25.113.P,.7656250,.7812500,113,P,.8060027,512.5954185,584.8737264,550.4475671
XCME.ZN2.08AUG25.110:25.C,2,2.0312500,110.2500000,C,2.0211605,,1041.3083431,893.5642478
XCME.ZN2.08AUG25.110:5.P,INVALID,.0069999,110.5000000,P,.0088354,,779.1370894,704.7080245
XCME.ZN2.08AUG25.111:25.C,1,1.0468750,111.2500000,C,1.0268591,,696.0742266,575.2612914
XCME.ZN2.08AUG25.112:25.C,.2187500,.2343750,112.2500000,C,.2775399,477.5418502,512.5728673,495.0574965
XCME.ZN2.08AUG25.112.C,.3593750,.3906250,112,C,.4111092,454.1874117,532.5633857,493.7258464
