Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.VY2.11AUG25.111:75.C,.5781250,.6093750,111.7500000,C,,516.9157141,595.1805042,556.7987339
XCME.VY2.11AUG25.112:75.C,.0781250,.1093750,112.7500000,C,,605.5703817,640.2874785,623.0034311
XCME.VY2.11AUG25.113:5.P,1.2500000,1.2812500,113.5000000,P,,,,
XCME.VY2.11AUG25.111.P,.0069999,.0156250,111,P,,,,
XCME.VY2.11AUG25.110:5.C,1.7500000,1.7812500,110.5000000,C,,,,
XCME.VY2.11AUG25.112:25.P,.2343750,.2656250,112.2500000,P,,574.4491618,604.2355978,589.3423798
XCME.VY2.11AUG25.111:5.P,.0312500,.0468750,111.5000000,P,,,,
XCME.VY2.11AUG25.113.C,.0468750,.0625000,113,C,,594.0735851,678.8969076,637.6883790
XCME.VY2.11AUG25.111:75.P,.0625000,.0781250,111.7500000,P,,545.9438370,584.6978370,565.4953436
XCME.VY2.11AUG25.112.C,.3906250,.4218750,112,C,,538.4039549,602.5180248,570.5975796
