Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.HY2.14AUG25.112:25.P,TJWQ25P2 112.25 Comdty,.5156250,.5468750,112.2500000,P,,,
XCME.HY2.14AUG25.113:25.P,TJWQ25P2 113.25 Comdty,1.4218750,1.4375000,113.2500000,P,,,
XCME.HY2.14AUG25.110:5.P,TJWQ25P2 110.5 Comdty,.0069999,.0156250,110.5000000,P,,,
XCME.HY2.14AUG25.111:75.C,TJWQ25C2 111.75 Comdty,.3125000,.3281250,111.7500000,C,,,
XCME.HY2.14AUG25.111:75.P,TJWQ25P2 111.75 Comdty,.2187500,.2500000,111.7500000,P,,,
XCME.HY2.14AUG25.110:75.C,TJWQ25C2 110.75 Comdty,1.0937500,1.1093750,110.7500000,C,,,
XCME.HY2.14AUG25.111:25.P,TJWQ25P2 111.25 Comdty,.0625000,.0781250,111.2500000,P,,,
XCME.HY2.14AUG25.112:25.C,TJWQ25C2 112.25 Comdty,.1093750,.1250000,112.2500000,C,,,
XCME.HY2.14AUG25.110:25.C,TJWQ25C2 110.25 Comdty,1.5781250,1.5937500,110.2500000,C,,,
XCME.HY2.14AUG25.113.P,TJWQ25P2 113 Comdty,1.1718750,1.2031250,113,P,,,
XCME.HY2.14AUG25.110:25.P,TJWQ25P2 110.25 Comdty,INVALID,.0156250,110.2500000,P,,,
