Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.GY2.12AUG25.111:25.C,TJPQ25C2 111.25 Comdty,.6093750,.6406250,111.2500000,C,,,
XCME.GY2.12AUG25.113.P,TJPQ25P2 113 Comdty,1.1562500,1.1875000,113,P,,,
XCME.GY2.12AUG25.113:75.C,TJPQ25C2 113.75 Comdty,INVALID,.0069999,113.7500000,C,,,
XCME.GY2.12AUG25.111:5.C,TJPQ25C2 111.5 Comdty,.4062500,.4375000,111.5000000,C,,,
XCME.GY2.12AUG25.110:25.P,TJPQ25P2 110.25 Comdty,INVALID,.0069999,110.2500000,P,,,
XCME.GY2.12AUG25.113:25.P,TJPQ25P2 113.25 Comdty,1.4062500,1.4375000,113.2500000,P,,,
XCME.GY2.12AUG25.111:75.C,TJPQ25C2 111.75 Comdty,.2500000,.2812500,111.7500000,C,,,
XCME.GY2.12AUG25.111:25.P,TJPQ25P2 111.25 Comdty,.0312500,.0468750,111.2500000,P,,,
XCME.GY2.12AUG25.113:5.P,TJPQ25P2 113.5 Comdty,1.6562500,1.6875000,113.5000000,P,,,
XCME.GY2.12AUG25.110:75.C,TJPQ25C2 110.75 Comdty,1.0781250,1.1093750,110.7500000,C,,,
