Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.GY2.12AUG25.112.P,TJPQ25P2 112 Comdty,.3125000,.3281250,112,P,,,
XCME.GY2.12AUG25.112.C,TJPQ25C2 112 Comdty,.1406250,.1562500,112,C,,,
XCME.GY2.12AUG25.113:5.C,TJPQ25C2 113.5 Comdty,INVALID,.0156250,113.5000000,C,,,
XCME.GY2.12AUG25.110:5.P,TJPQ25P2 110.5 Comdty,INVALID,.0156250,110.5000000,P,,,
XCME.GY2.12AUG25.112:25.C,TJPQ25C2 112.25 Comdty,.0625000,.0781250,112.2500000,C,,,
XCME.GY2.12AUG25.110:75.P,TJPQ25P2 110.75 Comdty,.0069999,.0156250,110.7500000,P,,,
XCME.ZN2.08AUG25.113:75.C,2MQ5C 113.75 Comdty,INVALID,.0069999,113.7500000,C,,,
XCME.ZN2.08AUG25.113.C,2MQ5C 113 Comdty,INVALID,.0069999,113,C,,,
XCME.ZN2.08AUG25.113:5.C,2MQ5C 113.5 Comdty,INVALID,.0069999,113.5000000,C,,,
XCME.ZN2.08AUG25.110.C,2MQ5C 110 Comdty,1.8125000,1.8437500,110,C,,,
