Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.113:75.P,1.6406250,1.6562500,113.7500000,P,,1339.6196453,1248.0190200
XCME.ZN2.08AUG25.113:25.P,1.1406250,1.1562500,113.2500000,P,,995.7031189,921.9487296
XCME.ZN2.08AUG25.112:5.C,.0069999,.0156250,112.5000000,C,387.7350789,472.2612052,433.8868884
XCME.ZN2.08AUG25.114.C,INVALID,.0069999,114,C,,1393.9365506,1262.9793067
XCME.ZN2.08AUG25.112:75.C,INVALID,.0069999,112.7500000,C,,573.6194907,506.8420010
XCME.ZN2.08AUG25.110:25.P,INVALID,.0069999,110.2500000,P,,1370.4642937,1241.6920285
XCME.ZN2.08AUG25.110:75.C,1.3437500,1.3593750,110.7500000,C,,977.1519618,740.1116413
XCME.ZN2.08AUG25.111:5.C,.5937500,.6093750,111.5000000,C,,496.5596370,359.3521838
XCME.ZN2.08AUG25.111:5.P,INVALID,.0069999,111.5000000,P,,543.3031722,479.1185029
XCME.ZN2.08AUG25.112.P,.0468750,.0781250,112,P,338.5565376,466.0673434,403.1086320
XCME.ZN2.08AUG25.112:25.P,.1718750,.2031250,112.2500000,P,371.5337708,439.6523333,406.0077403
