Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.HY1.07AUG25.110:5.C,1.7187500,1.7500000,110.5000000,C,1.7456937,,1628.6701397,1390.2203675
XCME.HY1.07AUG25.110.C,2.2187500,2.2500000,110,C,2.2456918,,,1722.4969198
XCME.HY1.07AUG25.112.C,.2656250,.2968750,112,C,.3072797,459.6978172,615.7476887,540.3396933
XCME.HY1.07AUG25.112:75.C,.0069999,.0156250,112.7500000,C,.0275324,502.6267693,604.8957154,558.8105451
XCME.HY1.07AUG25.110:25.P,INVALID,.0069999,110.2500000,P,.0000051,,1519.6913347,1377.5099147
XCME.HY1.07AUG25.110:75.P,INVALID,.0069999,110.7500000,P,.0000124,,1188.2692290,1070.8973121
XCME.HY1.07AUG25.111:75.C,.4843750,.5156250,111.7500000,C,.5111019,431.1644437,728.5520793,610.8255477
XCME.HY1.07AUG25.112.P,.0312500,.0625000,112,P,.0615917,435.9693521,595.3092378,518.7346675
XCME.HY1.07AUG25.112:25.P,.1250000,.1406250,112.2500000,P,.1642412,454.2633068,516.2492645,485.2606068
XCME.HY1.07AUG25.113:75.P,1.5000000,1.5312500,113.7500000,P,1.5047450,,,
XCME.HY1.07AUG25.111:5.C,.7187500,.7500000,111.5000000,C,.7480650,,833.9100524,686.2336326
