Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.GY2.12AUG25.113:5.C,.0069999,.0156250,113.5000000,C,656.4977154,757.9754120,713.0562251
XCME.GY2.12AUG25.110:5.P,INVALID,.0156250,110.5000000,P,,846.4259771,749.8898640
XCME.GY2.12AUG25.113:5.P,1.3906250,1.4218750,113.5000000,P,,824.2561790,717.6651160
XCME.GY2.12AUG25.112.P,.2031250,.2187500,112,P,574.8763504,611.1578949,593.0239746
XCME.GY2.12AUG25.112:25.C,.1562500,.1875000,112.2500000,C,510.6581208,584.5833842,547.6976707
XCME.GY2.12AUG25.110:75.P,.0069999,.0156250,110.7500000,P,639.3419276,738.3750344,694.4953963
XCME.HY1.07AUG25.110:5.C,1.5937500,1.6093750,110.5000000,C,,,
XCME.HY1.07AUG25.110.C,2.0937500,2.1093750,110,C,,,
XCME.HY1.07AUG25.112.C,.0937500,.1093750,112,C,,,
XCME.HY1.07AUG25.112:75.C,INVALID,INVALID,112.7500000,C,,,
