Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.WY2.13AUG25.113.C,.0312500,.0468750,113,C,544.1295676,610.3365490,578.6636822
XCME.WY2.13AUG25.110:75.C,1.3437500,1.3750000,110.7500000,C,,673.6024898,570.0788999
XCME.WY2.13AUG25.111.C,1.1093750,1.1406250,111,C,433.6876010,659.3937957,574.2018532
XCME.WY2.13AUG25.113:25.P,1.1562500,1.1718750,113.2500000,P,524.8056170,631.4760632,584.1228941
XCME.WY2.13AUG25.112:75.C,.0468750,.0781250,112.7500000,C,489.1360148,586.9730444,540.0742277
XCME.WY2.13AUG25.113.P,.9218750,.9375000,113,P,523.3700943,593.1496998,560.0158298
XCME.WY2.13AUG25.111.P,.0156250,.0312500,111,P,545.0742766,638.0896143,595.5485997
XCME.WY2.13AUG25.112:25.P,.3437500,.3750000,112.2500000,P,526.5942398,590.0261732,558.3484323
XCME.WY2.13AUG25.110:75.P,.0069999,.0156250,110.7500000,P,555.0620084,641.0052899,602.9381235
XCME.WY2.13AUG25.110.P,INVALID,.0069999,110,P,,803.9812718,730.2151299
XCME.WY2.13AUG25.111:75.C,.4687500,.4843750,111.7500000,C,501.1864732,537.1873506,519.2779628
