Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.GY2.12AUG25.111:25.C,.8750000,.8906250,111.2500000,C,561.0183035,643.6437275,604.6671804
XCME.GY2.12AUG25.112:75.C,.0468750,.0625000,112.7500000,C,566.6245049,625.5245500,596.8061921
XCME.GY2.12AUG25.111:5.C,.6406250,.6718750,111.5000000,C,506.8309437,622.4885536,567.4761552
XCME.GY2.12AUG25.113:75.C,.0069999,.0156250,113.7500000,C,753.8500958,865.7958054,816.3948302
XCME.GY2.12AUG25.111:25.P,.0156250,.0312500,111.2500000,P,509.6232898,604.6671804,561.0183035
XCME.GY2.12AUG25.111:75.C,.4531250,.4687500,111.7500000,C,542.9328653,585.1487500,564.1698039
XCME.GY2.12AUG25.110:25.P,INVALID,.0069999,110.2500000,P,,832.4043956,754.1708398
XCME.GY2.12AUG25.113:25.P,1.1562500,1.1718750,113.2500000,P,567.6112566,707.2028380,647.5011887
XCME.GY2.12AUG25.110:75.C,1.3437500,1.3750000,110.7500000,C,,803.2441676,698.9781569
XCME.GY2.12AUG25.112.C,.2968750,.3125000,112,C,520.3372589,556.7138028,538.5346993
