Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.HY1.07AUG25.110:25.P,INVALID,INVALID,110.2500000,P,,,
XCME.HY1.07AUG25.110:75.P,INVALID,INVALID,110.7500000,P,,,
XCME.HY1.07AUG25.113:75.P,1.6406250,1.6562500,113.7500000,P,,,
XCME.HY1.07AUG25.111:75.C,.3437500,.3593750,111.7500000,C,,,
XCME.HY1.07AUG25.112.P,INVALID,INVALID,112,P,,1482.0484723,1209.1533593
XCME.HY1.07AUG25.112:25.P,.1406250,.1562500,112.2500000,P,,,
XCME.HY1.07AUG25.113:75.C,INVALID,INVALID,113.7500000,C,,,
XCME.HY1.07AUG25.113.C,INVALID,INVALID,113,C,,,
XCME.HY1.07AUG25.111:5.C,INVALID,INVALID,111.5000000,C,,,
XCME.HY1.07AUG25.113:5.C,INVALID,INVALID,113.5000000,C,,,
