Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.HY1.07AUG25.112:5.C,INVALID,INVALID,112.5000000,C,,,
XCME.HY1.07AUG25.114.C,INVALID,INVALID,114,C,,,
XCME.HY1.07AUG25.110:25.C,INVALID,INVALID,110.2500000,C,,,
XCME.HY1.07AUG25.112:25.C,INVALID,.1875000,112.2500000,C,,1931.1962646,1612.2871514
XCME.HY1.07AUG25.112:5.P,.3906250,.4062500,112.5000000,P,,,
XCME.HY1.07AUG25.111:5.P,INVALID,INVALID,111.5000000,P,,,
XCME.HY1.07AUG25.111.C,1.0937500,1.1093750,111,C,,,
XCME.HY1.07AUG25.112:75.P,INVALID,INVALID,112.7500000,P,,,
XCME.HY1.07AUG25.114.P,INVALID,INVALID,114,P,,,
XCME.HY1.07AUG25.111:25.P,INVALID,INVALID,111.2500000,P,,,
