Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.VY2.11AUG25.113:25.C,INVALID,.0069999,113.2500000,C,,681.5691654,610.6425560
XCME.VY2.11AUG25.111:5.C,.6093750,.6250000,111.5000000,C,411.6055986,533.3400761,480.2597509
XCME.VY2.11AUG25.114.P,1.8906250,1.9062500,114,P,,1057.3293065,955.5786869
XCME.VY2.11AUG25.112:75.P,.6406250,.6718750,112.7500000,P,,564.5990014,477.1315726
XCME.VY2.11AUG25.111:25.C,.8437500,.8750000,111.2500000,C,,686.5412884,586.0282045
XCME.VY2.11AUG25.113:25.P,1.1406250,1.1562500,113.2500000,P,,694.5883935,620.6862932
XCME.VY2.11AUG25.110:25.P,INVALID,.0069999,110.2500000,P,,1018.6807277,923.0346413
XCME.VY2.11AUG25.113:75.C,INVALID,.0069999,113.7500000,C,,922.5618198,833.4577632
XCME.VY2.11AUG25.110:75.C,1.3437500,1.3593750,110.7500000,C,,796.6615053,715.4657725
XCME.VY2.11AUG25.112.P,.0937500,.1250000,112,P,389.1791199,479.9840717,434.7464531
XCME.VY2.11AUG25.113.P,.8906250,.9218750,113,P,,715.9851858,612.3238152
