Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.ZN2.08AUG25.111:75.C,.5000000,.5156250,111.7500000,C,.5417230,422.2297096,572.4186897,503.6141676
XCME.ZN2.08AUG25.113:25.C,INVALID,.0156250,113.2500000,C,.0175765,,704.6851393,616.2370555
XCME.WY1.06AUG25.112:5.C,INVALID,INVALID,112.5000000,C,0,,,
XCME.WY1.06AUG25.112:25.C,INVALID,INVALID,112.2500000,C,.0136246,,,
XCME.WY1.06AUG25.111.P,INVALID,INVALID,111,P,0,,,
XCME.WY1.06AUG25.113:75.P,INVALID,INVALID,113.7500000,P,1.5078125,,,
XCME.WY1.06AUG25.113.P,INVALID,INVALID,113,P,.7578124,,,
XCME.WY1.06AUG25.112:75.C,INVALID,INVALID,112.7500000,C,0,,,
XCME.WY1.06AUG25.110.C,INVALID,INVALID,110,C,2.2421875,,,
XCME.WY1.06AUG25.112.C,INVALID,INVALID,112,C,.2421874,,,
XCME.WY1.06AUG25.110:25.P,INVALID,INVALID,110.2500000,P,0,,,
