Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.111.C,1.0937500,1.1093750,111,C,,822.8462716,619.9845761
XCME.ZN2.08AUG25.110:5.C,1.5937500,1.6093750,110.5000000,C,,1128.4725942,859.9096560
XCME.ZN2.08AUG25.110:75.P,INVALID,.0069999,110.7500000,P,,1053.1913897,948.0764262
XCME.ZN2.08AUG25.113.C,INVALID,.0069999,113,C,,741.6503704,659.0312021
XCME.ZN2.08AUG25.113:75.C,INVALID,.0069999,113.7500000,C,,1236.9583914,1117.4744701
XCME.ZN2.08AUG25.110.C,2.0937500,2.1093750,110,C,,1423.8573766,1096.9827652
XCME.ZN2.08AUG25.113:5.P,1.3906250,1.4062500,113.5000000,P,,1169.6970219,1086.8091568
XCME.ZN2.08AUG25.113:5.C,INVALID,.0069999,113.5000000,C,,1076.8036417,969.2749296
XCME.ZN2.08AUG25.111.P,INVALID,.0069999,111,P,,889.4864490,797.8047292
XCME.ZN2.08AUG25.114.P,1.8906250,1.9062500,114,P,,1506.0723773,1406.0952272
XCME.ZN2.08AUG25.112:5.P,.3906250,.4218750,112.5000000,P,,555.6029827,468.8643973
