Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.HY1.07AUG25.114.P,1.7500000,1.7812500,114,P,1.7545162,,,
XCME.HY1.07AUG25.113:25.C,INVALID,.0069999,113.2500000,C,.0030097,,874.4766085,782.9940623
XCME.HY1.07AUG25.111:25.C,.9687500,1,111.2500000,C,.9960212,,1038.8341932,864.9555356
XCME.HY1.07AUG25.110:75.C,1.4687500,1.5000000,110.7500000,C,1.4956999,,1437.7290069,1219.8952196
XCME.HY1.07AUG25.110.P,INVALID,.0069999,110,P,.0000043,,1681.3987080,1527.5855925
XCME.HY1.07AUG25.110:5.P,INVALID,.0069999,110.5000000,P,.0000062,,1355.0362942,1225.1758518
XCME.HY1.07AUG25.111:25.P,INVALID,.0069999,111.2500000,P,.0003337,,840.0857072,748.5287889
XCME.HY1.07AUG25.111:75.P,.0069999,.0312500,111.7500000,P,.0154117,474.3118073,698.5269286,603.8039747
XCME.HY1.07AUG25.111.P,INVALID,.0069999,111,P,.0000453,,1017.7252537,913.3442760
XCME.HY1.07AUG25.113:25.P,1,1.0312500,113.2500000,P,1.0073222,,,
XCME.HY1.07AUG25.113:5.P,1.2500000,1.2812500,113.5000000,P,1.2553682,,,
