Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.HY1.07AUG25.113:5.C,INVALID,.0069999,113.5000000,C,.0010557,,1047.6824058,942.1597807
XCME.HY1.07AUG25.113:75.C,INVALID,.0069999,113.7500000,C,.0004325,,1216.8162789,1098.2044401
XCME.HY1.07AUG25.112:5.C,.0312500,.0468750,112.5000000,C,.0712034,480.3990821,566.6673151,524.7092262
XCME.HY1.07AUG25.113.C,INVALID,.0069999,113,C,.0095955,,687.6944399,609.4732159
XCME.HY1.07AUG25.114.C,INVALID,.0069999,114,C,.0002037,,1383.2164874,1251.6355377
XCME.HY1.07AUG25.111.C,1.2187500,1.2500000,111,C,1.2457328,,1242.0832655,1046.0266982
XCME.HY1.07AUG25.111:5.P,INVALID,.0156250,111.5000000,P,.0023772,,786.7463591,679.4980174
XCME.HY1.07AUG25.112:5.P,.2968750,.3281250,112.5000000,P,.3255155,,,
XCME.HY1.07AUG25.112:25.C,.1093750,.1250000,112.2500000,C,.1599287,471.3749864,533.3518567,502.3673084
XCME.HY1.07AUG25.110:25.C,1.9687500,2,110.2500000,C,1.9956926,,1815.7934021,1557.3812471
XCME.HY1.07AUG25.112:75.P,.5156250,.5468750,112.7500000,P,.5318447,,,
