Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.WY1.06AUG25.110.P,INVALID,INVALID,110,P,0,,,
XCME.WY1.06AUG25.110:75.P,INVALID,INVALID,110.7500000,P,0,,,
XCME.WY1.06AUG25.112:25.P,INVALID,INVALID,112.2500000,P,.0214371,,,
XCME.WY1.06AUG25.110:5.P,INVALID,INVALID,110.5000000,P,0,,,
XCME.WY1.06AUG25.112:5.P,INVALID,INVALID,112.5000000,P,.2578084,,,
XCME.WY1.06AUG25.112.P,INVALID,.0625000,112,P,0,,,
XCME.WY1.06AUG25.113:25.C,INVALID,INVALID,113.2500000,C,0,,,
XCME.WY1.06AUG25.111:75.P,INVALID,INVALID,111.7500000,P,0,,,
XCME.WY1.06AUG25.110:75.C,INVALID,INVALID,110.7500000,C,1.4921875,,,
XCME.WY1.06AUG25.110:5.C,INVALID,INVALID,110.5000000,C,1.7421875,,,
XCME.WY1.06AUG25.112:75.P,INVALID,INVALID,112.7500000,P,.5078124,,,
