Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.ZN2.08AUG25.113:75.C,INVALID,.0069999,113.7500000,C,.0056660,,841.1377202,759.0501508
XCME.ZN2.08AUG25.110.C,2.2187500,2.2500000,110,C,2.2482376,,1382.3977610,1190.7076521
XCME.ZN2.08AUG25.113.C,.0069999,.0156250,113,C,.0349650,475.3800116,562.0352198,523.2791170
XCME.ZN2.08AUG25.113:5.C,INVALID,.0069999,113.5000000,C,.0095070,,724.2038414,651.2755088
XCME.ZN2.08AUG25.111:75.P,.0156250,.0312500,111.7500000,P,.0460352,395.4069615,554.2238002,482.8592403
XCME.ZN2.08AUG25.112:5.P,.3281250,.3437500,112.5000000,P,.3809414,431.7123865,484.3270712,458.3329556
XCME.ZN2.08AUG25.114.P,1.7656250,1.7968750,114,P,1.7580293,,,
XCME.ZN2.08AUG25.111.P,INVALID,.0069999,111,P,.0028039,,703.4765837,631.4070279
XCME.ZN2.08AUG25.110.P,INVALID,.0069999,110,P,.0025501,,1162.2528243,1055.9157740
XCME.ZN2.08AUG25.113:5.P,1.2656250,1.2968750,113.5000000,P,1.2638195,,942.2374674,833.6989077
XCME.ZN2.08AUG25.114.C,INVALID,.0069999,114,C,.0037168,,956.1725165,865.2213123
