Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.VY2.11AUG25.112:75.P,VBYQ25P2 112.75 Comdty,.9062500,.9375000,112.7500000,P,,,
XCME.VY2.11AUG25.111:25.C,VBYQ25C2 111.25 Comdty,.5781250,.5937500,111.2500000,C,,,
XCME.VY2.11AUG25.113:25.C,VBYQ25C2 113.25 Comdty,INVALID,.0069999,113.2500000,C,,,
XCME.VY2.11AUG25.111:5.C,VBYQ25C2 111.5 Comdty,.3281250,.3593750,111.5000000,C,,,
XCME.VY2.11AUG25.112.P,VBYQ25P2 112 Comdty,.2031250,.2187500,112,P,,,
XCME.VY2.11AUG25.113.P,VBYQ25P2 113 Comdty,1.1562500,1.1875000,113,P,,,
XCME.VY2.11AUG25.110:75.C,VBYQ25C2 110.75 Comdty,1.0625000,1.0937500,110.7500000,C,,,
XCME.VY2.11AUG25.110:75.P,VBYQ25P2 110.75 Comdty,INVALID,.0069999,110.7500000,P,,,
XCME.VY2.11AUG25.110:25.P,VBYQ25P2 110.25 Comdty,INVALID,.0069999,110.2500000,P,,,
XCME.VY2.11AUG25.113:25.P,VBYQ25P2 113.25 Comdty,1.4062500,1.4375000,113.2500000,P,,,
XCME.VY2.11AUG25.113:75.C,VBYQ25C2 113.75 Comdty,INVALID,.0069999,113.7500000,C,,,
