Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.VY2.11AUG25.110:75.P,INVALID,.0069999,110.7500000,P,,,,
XCME.VY2.11AUG25.113:25.P,1.0156250,1.0468750,113.2500000,P,,,,
XCME.VY2.11AUG25.110:25.P,INVALID,.0069999,110.2500000,P,,,,
XCME.VY2.11AUG25.113:75.C,INVALID,.0156250,113.7500000,C,,,,
XCME.VY2.11AUG25.114.C,INVALID,.0156250,114,C,,,,
XCME.VY2.11AUG25.113:5.C,.0069999,.0156250,113.5000000,C,,,,
XCME.GY2.12AUG25.111:5.P,.0468750,.0781250,111.5000000,P,,,,
XCME.GY2.12AUG25.110.C,2.2187500,2.2500000,110,C,,,,
XCME.GY2.12AUG25.110.P,INVALID,.0069999,110,P,,,,
XCME.GY2.12AUG25.111:75.P,.0937500,.1250000,111.7500000,P,,626.6271895,689.5676352,658.3346722
