Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.WY2.13AUG25.111:5.C,.6562500,.6875000,111.5000000,C,482.2179077,576.0857993,530.8681621
XCME.WY2.13AUG25.110:25.P,INVALID,.0156250,110.2500000,P,,826.3467179,734.7740123
XCME.VY2.11AUG25.110:5.P,INVALID,.0069999,110.5000000,P,,901.7412343,814.3794635
XCME.VY2.11AUG25.111:25.P,INVALID,.0069999,111.2500000,P,,529.7543630,470.7910436
XCME.VY2.11AUG25.112:5.P,.4218750,.4375000,112.5000000,P,398.2083958,472.5194057,437.0218818
XCME.VY2.11AUG25.110.P,INVALID,.0069999,110,P,,1134.0386422,1029.9999737
XCME.VY2.11AUG25.110.C,2.0937500,2.1093750,110,C,,1152.9678899,1044.6356475
XCME.VY2.11AUG25.113:75.P,1.6406250,1.6562500,113.7500000,P,,938.7891870,846.1827445
XCME.VY2.11AUG25.112:25.C,.0781250,.0937500,112.2500000,C,392.9776428,440.4758757,416.8349851
XCME.VY2.11AUG25.111:75.P,.0312500,.0468750,111.7500000,P,401.1036623,467.4389668,435.3062321
XCME.VY2.11AUG25.111:75.C,.3750000,.4062500,111.7500000,C,363.8057337,498.0652546,435.3105574
