Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.111:25.C,2MQ5C 111.25 Comdty,.5625000,.5937500,111.2500000,C,,,
XCME.ZN2.08AUG25.112.C,2MQ5C 112 Comdty,INVALID,.0069999,112,C,,,
XCME.ZN2.08AUG25.111:25.P,2MQ5P 111.25 Comdty,INVALID,.0069999,111.2500000,P,,,
XCME.ZN2.08AUG25.110:5.P,2MQ5P 110.5 Comdty,INVALID,.0069999,110.5000000,P,,,
XCME.ZN2.08AUG25.113:25.C,2MQ5C 113.25 Comdty,INVALID,.0069999,113.2500000,C,,,
XCME.ZN2.08AUG25.110:25.C,2MQ5C 110.25 Comdty,1.5625000,1.5937500,110.2500000,C,,,
XCME.ZN2.08AUG25.111:75.C,2MQ5C 111.75 Comdty,.0781250,.0937500,111.7500000,C,,,
XCME.ZN2.08AUG25.112:25.C,2MQ5C 112.25 Comdty,INVALID,.0069999,112.2500000,C,,,
XCME.ZN2.08AUG25.113.P,2MQ5P 113 Comdty,1.1562500,1.1875000,113,P,,,
XCME.ZN2.08AUG25.112:75.P,2MQ5P 112.75 Comdty,.9062500,.9375000,112.7500000,P,,,
