Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.HY1.07AUG25.113.P,.7656250,.7968750,113,P,.7639080,,,
XCME.ZN2.08AUG25.110:5.C,1.7187500,1.7500000,110.5000000,C,1.7478449,,1125.8300735,960.9527081
XCME.ZN2.08AUG25.111.C,1.2187500,1.2500000,111,C,1.2484914,,858.5774747,723.1129743
XCME.ZN2.08AUG25.110:75.P,INVALID,.0069999,110.7500000,P,.0021429,,821.4159550,740.2351873
XCME.ZN2.08AUG25.112:75.C,.0156250,.0312500,112.7500000,C,.0679190,418.1442968,508.8720028,466.7981131
XCME.ZN2.08AUG25.110:25.P,INVALID,.0069999,110.2500000,P,.0023889,,1050.4898505,952.3380848
XCME.ZN2.08AUG25.111:5.C,.7187500,.7500000,111.5000000,C,.7614428,,673.3153041,547.0872934
XCME.ZN2.08AUG25.110:75.C,1.4687500,1.5000000,110.7500000,C,1.4978304,,993.8241954,843.2508947
XCME.ZN2.08AUG25.112.P,.0625000,.0781250,112,P,.1126938,411.5137602,461.9728910,436.9827771
XCME.ZN2.08AUG25.112:25.P,.1562500,.1875000,112.2500000,P,.2254331,399.6875845,485.3052429,442.5015613
XCME.ZN2.08AUG25.111:5.P,.0069999,.0156250,111.5000000,P,.0157539,459.9423075,543.8506655,506.3181684
