Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.VY2.11AUG25.113:5.P,VBYQ25P2 113.5 Comdty,1.6562500,1.6875000,113.5000000,P,,,
XCME.VY2.11AUG25.112:75.C,VBYQ25C2 112.75 Comdty,INVALID,.0069999,112.7500000,C,,,
XCME.VY2.11AUG25.112:5.C,VBYQ25C2 112.5 Comdty,INVALID,.0069999,112.5000000,C,,,
XCME.VY2.11AUG25.111.P,VBYQ25P2 111 Comdty,INVALID,.0069999,111,P,,,
XCME.VY2.11AUG25.113.C,VBYQ25C2 113 Comdty,INVALID,.0069999,113,C,,,
XCME.VY2.11AUG25.111:75.P,VBYQ25P2 111.75 Comdty,.0625000,.0781250,111.7500000,P,,,
XCME.VY2.11AUG25.111:5.P,VBYQ25P2 111.5 Comdty,.0069999,.0312500,111.5000000,P,,,
XCME.VY2.11AUG25.111.C,VBYQ25C2 111 Comdty,.8281250,.8437500,111,C,,,
XCME.VY2.11AUG25.112.C,VBYQ25C2 112 Comdty,.0312500,.0468750,112,C,,,
XCME.VY2.11AUG25.110:25.C,VBYQ25C2 110.25 Comdty,1.5625000,1.5937500,110.2500000,C,,,
XCME.VY2.11AUG25.114.P,VBYQ25P2 114 Comdty,2.1562500,2.1875000,114,P,,,
