Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.VY2.11AUG25.110:75.P,INVALID,.0069999,110.7500000,P,,782.3942308,704.2778834
XCME.VY2.11AUG25.114.C,INVALID,.0069999,114,C,,1039.3986286,941.6101965
XCME.VY2.11AUG25.113:5.C,INVALID,.0069999,113.5000000,C,,803.3398416,723.1683546
XCME.GY2.12AUG25.111:5.P,.0468750,.0625000,111.5000000,P,538.0553744,595.5256732,567.4763478
XCME.GY2.12AUG25.110.C,2.0937500,2.1250000,110,C,,1139.4064751,1005.1160119
XCME.GY2.12AUG25.110.P,INVALID,.0069999,110,P,,926.6773208,841.6459390
XCME.GY2.12AUG25.112:75.P,.6875000,.7031250,112.7500000,P,534.5529802,596.7978041,566.6196404
XCME.GY2.12AUG25.111:75.P,.0937500,.1250000,111.7500000,P,521.3982149,605.9009836,564.1693383
XCME.GY2.12AUG25.112:25.P,.3125000,.3437500,112.2500000,P,529.1993200,602.9775580,566.1577511
XCME.GY2.12AUG25.112:5.C,.0937500,.1093750,112.5000000,C,556.6526246,600.3760629,578.6793324
XCME.GY2.12AUG25.113:75.P,1.6406250,1.6718750,113.7500000,P,,938.3001426,821.4709390
