Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.HY2.14AUG25.112:5.P,TJWQ25P2 112.5 Comdty,.7187500,.7500000,112.5000000,P,,,
XCME.HY2.14AUG25.113:75.C,TJWQ25C2 113.75 Comdty,INVALID,.0156250,113.7500000,C,,,
XCME.HY2.14AUG25.111.P,TJWQ25P2 111 Comdty,.0312500,.0468750,111,P,,,
XCME.GY2.12AUG25.112:75.P,TJPQ25P2 112.75 Comdty,.9218750,.9531250,112.7500000,P,,,
XCME.GY2.12AUG25.110.P,TJPQ25P2 110 Comdty,INVALID,.0069999,110,P,,,
XCME.GY2.12AUG25.111:75.P,TJPQ25P2 111.75 Comdty,.1875000,.2031250,111.7500000,P,,,
XCME.GY2.12AUG25.112:25.P,TJPQ25P2 112.25 Comdty,.4843750,.5156250,112.2500000,P,,,
XCME.GY2.12AUG25.110.C,TJPQ25C2 110 Comdty,1.8281250,1.8437500,110,C,,,
XCME.GY2.12AUG25.111:5.P,TJPQ25P2 111.5 Comdty,.0937500,.1093750,111.5000000,P,,,
XCME.GY2.12AUG25.113:75.P,TJPQ25P2 113.75 Comdty,1.9062500,1.9375000,113.7500000,P,,,
XCME.GY2.12AUG25.112:5.C,TJPQ25C2 112.5 Comdty,.0312500,.0468750,112.5000000,C,,,
