Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.112.P,2MQ5P 112 Comdty,.1562500,.1875000,112,P,,,
XCME.ZN2.08AUG25.111:5.P,2MQ5P 111.5 Comdty,INVALID,.0069999,111.5000000,P,,,
XCME.ZN2.08AUG25.112:25.P,2MQ5P 112.25 Comdty,.4062500,.4375000,112.2500000,P,,,
XCME.ZN2.08AUG25.110:5.C,2MQ5C 110.5 Comdty,1.3125000,1.3437500,110.5000000,C,,,
XCME.ZN2.08AUG25.111.C,2MQ5C 111 Comdty,.8125000,.8437500,111,C,,,
XCME.ZN2.08AUG25.110:75.P,2MQ5P 110.75 Comdty,INVALID,.0069999,110.7500000,P,,,
XCME.ZN2.08AUG25.113:25.P,2MQ5P 113.25 Comdty,1.4062500,1.4218750,113.2500000,P,,,
XCME.ZN2.08AUG25.112:5.C,2MQ5C 112.5 Comdty,INVALID,.0069999,112.5000000,C,,,
XCME.ZN2.08AUG25.113:75.P,2MQ5P 113.75 Comdty,1.9062500,1.9218750,113.7500000,P,,,
XCME.ZN2.08AUG25.114.C,2MQ5C 114 Comdty,INVALID,.0069999,114,C,,,
