Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.WY2.13AUG25.113:25.C,TYWQ25C2 113.25 Comdty,.0069999,.0156250,113.2500000,C,,,
XCME.WY2.13AUG25.111:75.P,TYWQ25P2 111.75 Comdty,.2031250,.2187500,111.7500000,P,,,
XCME.WY2.13AUG25.112:25.P,TYWQ25P2 112.25 Comdty,.5000000,.5156250,112.2500000,P,,,
XCME.WY2.13AUG25.111.P,TYWQ25P2 111 Comdty,.0156250,.0312500,111,P,,,
XCME.WY2.13AUG25.113.P,TYWQ25P2 113 Comdty,1.1718750,1.1875000,113,P,,,
XCME.WY2.13AUG25.112:75.C,TYWQ25C2 112.75 Comdty,.0156250,.0312500,112.7500000,C,,,
XCME.WY2.13AUG25.113:25.P,TYWQ25P2 113.25 Comdty,1.4218750,1.4375000,113.2500000,P,,,
XCME.WY2.13AUG25.110:75.P,TYWQ25P2 110.75 Comdty,.0069999,.0156250,110.7500000,P,,,
XCME.WY2.13AUG25.110.P,TYWQ25P2 110 Comdty,INVALID,.0069999,110,P,,,
XCME.WY2.13AUG25.111:75.C,TYWQ25C2 111.75 Comdty,.2812500,.2968750,111.7500000,C,,,
XCME.WY2.13AUG25.110:25.P,TYWQ25P2 110.25 Comdty,INVALID,.0069999,110.2500000,P,,,
