Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.GY2.12AUG25.110:25.C,TJPQ25C2 110.25 Comdty,1.5781250,1.5937500,110.2500000,C,,,
XCME.GY2.12AUG25.113:25.C,TJPQ25C2 113.25 Comdty,INVALID,.0156250,113.2500000,C,,,
XCME.GY2.12AUG25.114.C,TJPQ25C2 114 Comdty,INVALID,.0069999,114,C,,,
XCME.GY2.12AUG25.113.C,TJPQ25C2 113 Comdty,.0069999,.0156250,113,C,,,
XCME.GY2.12AUG25.112:5.P,TJPQ25P2 112.5 Comdty,.6875000,.7187500,112.5000000,P,,,
XCME.GY2.12AUG25.111.P,TJPQ25P2 111 Comdty,.0156250,.0312500,111,P,,,
XCME.GY2.12AUG25.114.P,TJPQ25P2 114 Comdty,2.1562500,2.1875000,114,P,,,
XCME.GY2.12AUG25.110:5.C,TJPQ25C2 110.5 Comdty,1.3281250,1.3437500,110.5000000,C,,,
XCME.GY2.12AUG25.112:75.C,TJPQ25C2 112.75 Comdty,.0156250,.0312500,112.7500000,C,,,
XCME.GY2.12AUG25.111.C,TJPQ25C2 111 Comdty,.8281250,.8593750,111,C,,,
