Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.WY2.13AUG25.112.C,TYWQ25C2 112 Comdty,.1562500,.1718750,112,C,,,
XCME.WY2.13AUG25.114.P,TYWQ25P2 114 Comdty,2.1562500,2.1875000,114,P,,,
XCME.WY2.13AUG25.110.C,TYWQ25C2 110 Comdty,1.8281250,1.8437500,110,C,,,
XCME.WY2.13AUG25.111:25.C,TYWQ25C2 111.25 Comdty,.6250000,.6562500,111.2500000,C,,,
XCME.WY2.13AUG25.111:25.P,TYWQ25P2 111.25 Comdty,.0468750,.0625000,111.2500000,P,,,
XCME.WY2.13AUG25.112.P,TYWQ25P2 112 Comdty,.3281250,.3593750,112,P,,,
XCME.WY2.13AUG25.112:5.C,TYWQ25C2 112.5 Comdty,.0312500,.0468750,112.5000000,C,,,
XCME.WY2.13AUG25.112:25.C,TYWQ25C2 112.25 Comdty,.0781250,.0937500,112.2500000,C,,,
XCME.WY2.13AUG25.113:5.P,TYWQ25P2 113.5 Comdty,1.6562500,1.6875000,113.5000000,P,,,
XCME.WY2.13AUG25.111:5.P,TYWQ25P2 111.5 Comdty,.1093750,.1250000,111.5000000,P,,,
XCME.WY2.13AUG25.112:75.P,TYWQ25P2 112.75 Comdty,.9218750,.9531250,112.7500000,P,,,
