Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.VY2.11AUG25.111.C,1.2187500,1.2500000,111,C,,,,
XCME.VY2.11AUG25.111:5.C,.7343750,.7656250,111.5000000,C,,,,
XCME.VY2.11AUG25.114.P,1.7656250,1.7968750,114,P,,,,
XCME.VY2.11AUG25.113:25.C,.0069999,.0156250,113.2500000,C,,,,
XCME.VY2.11AUG25.110:25.C,1.9687500,2,110.2500000,C,,,,
XCME.VY2.11AUG25.111:25.C,.9687500,1,111.2500000,C,,,,
XCME.VY2.11AUG25.112:75.P,.5468750,.5781250,112.7500000,P,,595.8629899,665.0646726,630.7498022
XCME.VY2.11AUG25.113.P,.7812500,.7968750,113,P,,625.8517161,707.9086921,667.6115468
XCME.VY2.11AUG25.110:75.C,1.4687500,1.5000000,110.7500000,C,,,,
XCME.VY2.11AUG25.112.P,.0937500,.1250000,112,P,,561.7282352,593.7192046,577.7563882
