Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.GY2.12AUG25.113:25.P,1.0312500,1.0625000,113.2500000,P,,,,
XCME.GY2.12AUG25.111:75.C,.5781250,.6093750,111.7500000,C,,603.3332075,667.0095593,635.4416156
XCME.GY2.12AUG25.110:75.C,1.4687500,1.5156250,110.7500000,C,,,,
XCME.GY2.12AUG25.112.C,.4062500,.4218750,112,C,,628.9105881,657.0530317,642.9967365
XCME.GY2.12AUG25.113:5.C,.0156250,.0312500,113.5000000,C,,,,
XCME.GY2.12AUG25.112.P,.1718750,.2031250,112,P,,649.2879947,677.3481571,663.3315915
XCME.GY2.12AUG25.110:5.P,INVALID,.0156250,110.5000000,P,,,,
XCME.GY2.12AUG25.113:5.P,1.2812500,1.3125000,113.5000000,P,,,,
XCME.GY2.12AUG25.110:75.P,.0069999,.0156250,110.7500000,P,,,,
XCME.GY2.12AUG25.112:25.C,.2656250,.2812500,112.2500000,C,,633.1421467,686.8682407,660.0051937
