Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.HY1.07AUG25.110:75.C,1.3437500,1.3593750,110.7500000,C,,,
XCME.HY1.07AUG25.111:25.C,.8437500,.8593750,111.2500000,C,,,
XCME.HY1.07AUG25.113:25.C,INVALID,INVALID,113.2500000,C,,,
XCME.HY1.07AUG25.113.P,.8906250,.9062500,113,P,,,
XCME.HY1.07AUG25.111.P,INVALID,INVALID,111,P,,,
XCME.HY1.07AUG25.111:75.P,INVALID,INVALID,111.7500000,P,,,
XCME.HY1.07AUG25.113:25.P,1.1406250,1.1562500,113.2500000,P,,,
XCME.HY1.07AUG25.113:5.P,1.3906250,1.4062500,113.5000000,P,,,
XCME.HY1.07AUG25.110.P,INVALID,INVALID,110,P,,,
XCME.HY1.07AUG25.110:5.P,INVALID,INVALID,110.5000000,P,,,
