Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.WY1.06AUG25.113:5.P,INVALID,INVALID,113.5000000,P,1.2578125,,,
XCME.WY1.06AUG25.113:75.C,INVALID,.0069999,113.7500000,C,0,,,
XCME.WY1.06AUG25.111:25.P,INVALID,INVALID,111.2500000,P,0,,,
XCME.WY1.06AUG25.113:25.P,INVALID,INVALID,113.2500000,P,1.0078125,,,
XCME.WY1.06AUG25.111:75.C,.0156250,INVALID,111.7500000,C,.4921874,,,
XCME.WY1.06AUG25.113.C,INVALID,INVALID,113,C,0,,,
XCME.WY1.06AUG25.111:25.C,INVALID,INVALID,111.2500000,C,.9921875,,,
XCME.WY1.06AUG25.110:25.C,INVALID,INVALID,110.2500000,C,1.9921875,,,
XCME.WY1.06AUG25.114.C,INVALID,.0069999,114,C,0,,,
XCME.WY1.06AUG25.111:5.C,INVALID,INVALID,111.5000000,C,.7421875,,,
XCME.WY1.06AUG25.114.P,INVALID,INVALID,114,P,1.7578125,,,
