Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.HY2.14AUG25.112:75.P,TJWQ25P2 112.75 Comdty,.9375000,.9687500,112.7500000,P,,,
XCME.HY2.14AUG25.110.C,TJWQ25C2 110 Comdty,1.8281250,1.8437500,110,C,,,
XCME.HY2.14AUG25.113:25.C,TJWQ25C2 113.25 Comdty,.0069999,.0156250,113.2500000,C,,,
XCME.HY2.14AUG25.113:5.C,TJWQ25C2 113.5 Comdty,.0069999,.0156250,113.5000000,C,,,
XCME.HY2.14AUG25.113.C,TJWQ25C2 113 Comdty,.0156250,.0312500,113,C,,,
XCME.HY2.14AUG25.114.C,TJWQ25C2 114 Comdty,INVALID,.0156250,114,C,,,
XCME.HY2.14AUG25.110:5.C,TJWQ25C2 110.5 Comdty,1.3281250,1.3593750,110.5000000,C,,,
XCME.HY2.14AUG25.111:5.P,TJWQ25P2 111.5 Comdty,.1250000,.1406250,111.5000000,P,,,
XCME.HY2.14AUG25.112:5.C,TJWQ25C2 112.5 Comdty,.0468750,.0781250,112.5000000,C,,,
XCME.HY2.14AUG25.112.P,TJWQ25P2 112 Comdty,.3593750,.3906250,112,P,,,
XCME.HY2.14AUG25.113:75.P,TJWQ25P2 113.75 Comdty,1.9062500,1.9375000,113.7500000,P,,,
