Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.WY2.13AUG25.112:75.P,.7031250,.7187500,112.7500000,P,526.4964736,574.3436350,550.8680450
XCME.WY2.13AUG25.113:5.C,.0069999,.0156250,113.5000000,C,567.5322296,655.3562731,616.5140429
XCME.WY2.13AUG25.111:5.P,.0625000,.0781250,111.5000000,P,517.8458950,563.8747450,541.2435340
XCME.WY2.13AUG25.110:5.C,1.5937500,1.6250000,110.5000000,C,,770.3986099,656.0991065
XCME.WY2.13AUG25.110:25.C,1.8437500,1.8750000,110.2500000,C,,865.0915075,740.7110350
XCME.WY2.13AUG25.113:75.C,.0069999,.0156250,113.7500000,C,651.9163993,748.7921174,706.0627680
XCME.WY2.13AUG25.110:5.P,.0069999,.0156250,110.5000000,P,639.5709567,734.6042304,692.6049135
XCME.WY2.13AUG25.113:75.P,1.6406250,1.6718750,113.7500000,P,,835.9164918,745.0997352
XCME.WY2.13AUG25.113:25.C,.0156250,.0312500,113.2500000,C,559.5971417,654.6989801,611.2746006
XCME.WY2.13AUG25.114.C,.0069999,.0156250,114,C,734.7191089,840.3050099,793.7801089
XCME.WY2.13AUG25.111:75.P,.1250000,.1406250,111.7500000,P,527.3228041,562.8329591,545.1560912
