Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.VY2.11AUG25.114.C,VBYQ25C2 114 Comdty,INVALID,.0069999,114,C,,,
XCME.VY2.11AUG25.113:5.C,VBYQ25C2 113.5 Comdty,INVALID,.0069999,113.5000000,C,,,
XCME.HY2.14AUG25.111.C,TJWQ25C2 111 Comdty,.8593750,.8750000,111,C,,,
XCME.HY2.14AUG25.113:5.P,TJWQ25P2 113.5 Comdty,1.6562500,1.6875000,113.5000000,P,,,
XCME.HY2.14AUG25.111:25.C,TJWQ25C2 111.25 Comdty,.6406250,.6718750,111.2500000,C,,,
XCME.HY2.14AUG25.111:5.C,TJWQ25C2 111.5 Comdty,.4531250,.4843750,111.5000000,C,,,
XCME.HY2.14AUG25.114.P,TJWQ25P2 114 Comdty,2.1562500,2.1875000,114,P,,,
XCME.HY2.14AUG25.110.P,TJWQ25P2 110 Comdty,INVALID,.0156250,110,P,,,
XCME.HY2.14AUG25.110:75.P,TJWQ25P2 110.75 Comdty,.0156250,.0312500,110.7500000,P,,,
XCME.HY2.14AUG25.112:75.C,TJWQ25C2 112.75 Comdty,.0312500,.0468750,112.7500000,C,,,
XCME.HY2.14AUG25.112.C,TJWQ25C2 112 Comdty,.1875000,.2031250,112,C,,,
