Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.110.P,INVALID,.0069999,110,P,,1525.4642977,1385.5770335
XCME.ZN2.08AUG25.111:75.P,.0069999,.0156250,111.7500000,P,353.3866876,434.7350621,397.7880120
XCME.ZN2.08AUG25.113:25.C,INVALID,.0069999,113.2500000,C,,913.1138432,818.0929988
XCME.ZN2.08AUG25.111:25.C,.8437500,.8593750,111.2500000,C,,656.2554524,481.7953432
XCME.ZN2.08AUG25.110:25.C,1.8437500,1.8593750,110.2500000,C,,1277.0114455,978.9232685
XCME.ZN2.08AUG25.112:25.C,.0312500,.0468750,112.2500000,C,319.4510840,390.6813849,355.7421005
XCME.ZN2.08AUG25.112:75.P,.6406250,.6562500,112.7500000,P,,633.2754275,579.9651475
XCME.ZN2.08AUG25.110:5.P,INVALID,.0069999,110.5000000,P,,1213.3825638,1095.7742792
XCME.ZN2.08AUG25.111:75.C,.3593750,.3750000,111.7500000,C,317.9781468,467.4802453,405.1826545
XCME.ZN2.08AUG25.112.C,.1562500,.1718750,112,C,356.5869622,420.6108938,388.8184435
XCME.ZN2.08AUG25.111:25.P,INVALID,.0069999,111.2500000,P,,713.9687006,634.5494852
