Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.113.P,.8906250,.9062500,113,P,,813.9353674,749.4187786
XCME.WY2.13AUG25.112.C,.3125000,.3281250,112,C,509.8110701,541.2532921,525.5380987
XCME.WY2.13AUG25.114.P,1.8906250,1.9218750,114,P,,934.5365478,836.3040482
XCME.WY2.13AUG25.112:5.C,.1093750,.1250000,112.5000000,C,517.8757667,554.7024740,536.3967539
XCME.WY2.13AUG25.112:25.C,.1875000,.2031250,112.2500000,C,503.5479038,535.3668766,519.4692904
XCME.WY2.13AUG25.111:25.C,.8750000,.9062500,111.2500000,C,468.6674033,606.6064123,544.5336160
XCME.WY2.13AUG25.111:25.P,.0312500,.0468750,111.2500000,P,525.4447490,590.3635798,559.2765889
XCME.WY2.13AUG25.110.C,2.0937500,2.1250000,110,C,,958.1148407,823.8499610
XCME.WY2.13AUG25.112.P,.2187500,.2343750,112,P,532.5798788,563.9899459,548.2901022
XCME.WY2.13AUG25.113:5.P,1.3906250,1.4218750,113.5000000,P,,735.0775338,651.9784360
XCME.WY2.13AUG25.112:5.P,.5000000,.5312500,112.5000000,P,507.5487315,580.8758858,544.6225319
