Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.GY2.12AUG25.113.C,.0156250,.0312500,113,C,532.1497174,629.8534776,585.0439785
XCME.GY2.12AUG25.114.C,INVALID,.0156250,114,C,,971.3977445,863.9831020
XCME.GY2.12AUG25.113:25.C,.0156250,.0312500,113.2500000,C,647.5011887,757.4002551,707.2028380
XCME.GY2.12AUG25.110:25.C,1.8437500,1.8750000,110.2500000,C,,1029.5527537,904.8280341
XCME.GY2.12AUG25.111.P,.0069999,.0156250,111,P,539.7415930,627.5726324,588.5304567
XCME.GY2.12AUG25.112:5.P,.4843750,.5000000,112.5000000,P,534.2459218,578.6791807,556.6523608
XCME.GY2.12AUG25.113.P,.9062500,.9375000,113,P,461.9648876,669.7896005,585.0439785
XCME.GY2.12AUG25.110:5.C,1.5937500,1.6250000,110.5000000,C,,917.6694727,802.9209783
XCME.GY2.12AUG25.114.P,1.8906250,1.9218750,114,P,,1049.8795968,923.1462067
XCME.GY2.12AUG25.111.C,1.1093750,1.1250000,111,C,550.0786121,685.7187207,627.5726324
