Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.WY1.06AUG25.113:5.C,INVALID,.0069999,113.5000000,C,0,,,
XCME.WY1.06AUG25.111:5.P,INVALID,.0156250,111.5000000,P,0,,,
XCME.WY1.06AUG25.111.C,INVALID,INVALID,111,C,1.2421875,,,
XCME.VY2.11AUG25.111:25.P,.0069999,.0156250,111.2500000,P,,,,
XCME.VY2.11AUG25.110:5.P,INVALID,.0069999,110.5000000,P,,,,
XCME.VY2.11AUG25.110.P,INVALID,.0069999,110,P,,,,
XCME.VY2.11AUG25.113:75.P,1.5156250,1.5468750,113.7500000,P,,,,
XCME.VY2.11AUG25.112:25.C,.1875000,.2031250,112.2500000,C,,552.8962025,582.6826385,567.7894205
XCME.VY2.11AUG25.112:5.P,.3593750,.3750000,112.5000000,P,,583.9334912,645.3452367,614.6897498
XCME.VY2.11AUG25.110.C,2.2187500,2.2500000,110,C,,,,
XCME.VY2.11AUG25.112:5.C,.0937500,.1093750,112.5000000,C,,561.6061110,623.1728636,592.4460634
