Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.WY2.13AUG25.113:5.C,TYWQ25C2 113.5 Comdty,INVALID,.0156250,113.5000000,C,,,
XCME.WY2.13AUG25.112:5.P,TYWQ25P2 112.5 Comdty,.7031250,.7187500,112.5000000,P,,,
XCME.WY2.13AUG25.110:5.C,TYWQ25C2 110.5 Comdty,1.3281250,1.3437500,110.5000000,C,,,
XCME.WY2.13AUG25.110:25.C,TYWQ25C2 110.25 Comdty,1.5781250,1.5937500,110.2500000,C,,,
XCME.WY2.13AUG25.110:5.P,TYWQ25P2 110.5 Comdty,.0069999,.0156250,110.5000000,P,,,
XCME.WY2.13AUG25.113:75.P,TYWQ25P2 113.75 Comdty,1.9062500,1.9375000,113.7500000,P,,,
XCME.WY2.13AUG25.113:75.C,TYWQ25C2 113.75 Comdty,INVALID,.0156250,113.7500000,C,,,
XCME.WY2.13AUG25.114.C,TYWQ25C2 114 Comdty,INVALID,.0069999,114,C,,,
XCME.WY2.13AUG25.110:75.C,TYWQ25C2 110.75 Comdty,1.0781250,1.1093750,110.7500000,C,,,
XCME.WY2.13AUG25.113.C,TYWQ25C2 113 Comdty,.0069999,.0156250,113,C,,,
XCME.WY2.13AUG25.111.C,TYWQ25C2 111 Comdty,.8437500,.8750000,111,C,,,
