bloomberg,PX_SETTLE,PX_LAST,PX_BID,PX_ASK,OPT_EXPIRE_DT,MONEYNESS
TU,103.7,103.70721,103.710295,103.716545,,
FV,108.3,108.296867,108.289915,108.296165,,
TY,111.075,111.061772,111.064245,111.070495,,
US,114.281,114.282565,114.278505,114.284755,,
RX,129.56,129.544098,129.547562,129.553812,,
ZN,111.075,111.075939,111.06547,111.07172,,
XCMEOCADCS20250714N0VY2/109.0,3.449184,3.455429,3.433559,3.464809,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/109.0,1.542157,1.547151,1.526532,1.557782,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/109.25,3.294023,3.297957,3.278398,3.309648,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/109.25,1.584445,1.577675,1.56882,1.60007,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/109.5,3.02001,3.023884,3.004385,3.035635,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/109.5,1.196523,1.19101,1.180898,1.212148,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/109.75,2.75727,2.762262,2.741645,2.772895,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/109.75,1.366234,1.362936,1.350609,1.381859,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/110.0,2.500993,2.50768,2.485368,2.516618,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/110.0,1.273398,1.280029,1.257773,1.289023,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/110.25,1.851796,1.850279,1.836171,1.867421,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/110.25,1.400487,1.408585,1.384862,1.416112,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/110.5,1.560045,1.556696,1.54442,1.57567,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/110.5,1.25237,1.248694,1.236745,1.267995,2025-07-14,OTM
XCMEOCADCS20250714N0VY2/110.75,1.453536,1.448992,1.437911,1.469161,2025-07-14,ITM
XCMEOCADPS20250714N0VY2/110.75,0.980503,0.979625,0.964878,0.996128,2025-07-14,OTM
